CM079351.1 NC_045152.1 chr1
NA NW_024879701.1 unplaced_scaffold164
NA NW_024879702.1 unplaced_scaffold165
NA NW_024879703.1 unplaced_scaffold166
NA NW_024879704.1 unplaced_scaffold167
NA NW_024879705.1 unplaced_scaffold168
NA NW_024879706.1 unplaced_scaffold169
NA NW_024879707.1 unplaced_scaffold170
NA NW_024879708.1 unplaced_scaffold171
NA NW_024879709.1 unplaced_scaffold172
NA NW_024879710.1 unplaced_scaffold173
NA NW_024879711.1 unplaced_scaffold174
NA NW_024879712.1 unplaced_scaffold175
NA NW_024879713.1 unplaced_scaffold176
NA NW_024879714.1 unplaced_scaffold177
NA NW_024879715.1 unplaced_scaffold178
NA NW_024879716.1 unplaced_scaffold179
NA NW_024879717.1 unplaced_scaffold180
NA NW_024879718.1 unplaced_scaffold181
NA NW_024879719.1 unplaced_scaffold182
NA NW_024879720.1 unplaced_scaffold183
NA NW_024879721.1 unplaced_scaffold184
NA NW_024879722.1 unplaced_scaffold185
NA NW_024879723.1 unplaced_scaffold186
NA NW_024879724.1 unplaced_scaffold187
NA NW_024879725.1 unplaced_scaffold188
NA NW_024879726.1 unplaced_scaffold189
NA NW_024879727.1 unplaced_scaffold190
NA NW_024879728.1 unplaced_scaffold191
NA NW_024879729.1 unplaced_scaffold192
NA NW_024879730.1 unplaced_scaffold193
NA NW_024879731.1 unplaced_scaffold194
NA NW_024879732.1 unplaced_scaffold195
NA NW_024879733.1 unplaced_scaffold196
NA NW_024879734.1 unplaced_scaffold197
NA NW_024879735.1 unplaced_scaffold198
NA NW_024879736.1 unplaced_scaffold199
NA NW_024879737.1 unplaced_scaffold200
NA NW_024879738.1 unplaced_scaffold201
NA NW_024879739.1 unplaced_scaffold202
NA NW_024879740.1 unplaced_scaffold203
NA NW_024879741.1 unplaced_scaffold204
NA NW_024879742.1 unplaced_scaffold205
NA NW_024879743.1 unplaced_scaffold206
NA NW_024879744.1 unplaced_scaffold207
NA NW_024879745.1 unplaced_scaffold208
NA NW_024879746.1 unplaced_scaffold209
NA NW_024879747.1 unplaced_scaffold210
NA NW_024879748.1 unplaced_scaffold211
NA NW_024879749.1 unplaced_scaffold212
NA NW_024879750.1 unplaced_scaffold213
NA NW_024879751.1 unplaced_scaffold214
NA NW_024879752.1 unplaced_scaffold215
NA NW_024879753.1 unplaced_scaffold216
NA NW_024879754.1 unplaced_scaffold217
NA NW_024879755.1 unplaced_scaffold218
NA NW_024879756.1 unplaced_scaffold219
NA NW_024879757.1 unplaced_scaffold220
NA NW_024879758.1 unplaced_scaffold221
NA NW_024879759.1 unplaced_scaffold222
NA NW_024879760.1 unplaced_scaffold223
NA NW_024879761.1 unplaced_scaffold224
NA NW_024879762.1 unplaced_scaffold225
NA NW_024879763.1 unplaced_scaffold226
NA NW_024879764.1 unplaced_scaffold227
NA NW_024879765.1 unplaced_scaffold228
NA NW_024879766.1 unplaced_scaffold229
NA NW_024879767.1 unplaced_scaffold230
NA NW_024879768.1 unplaced_scaffold231
NA NW_024879769.1 unplaced_scaffold232
NA NW_024879770.1 unplaced_scaffold233
NA NW_024879771.1 unplaced_scaffold234
NA NW_024879772.1 unplaced_scaffold235
NA NW_024879773.1 unplaced_scaffold236
NA NW_024879774.1 unplaced_scaffold237
NA NW_024879775.1 unplaced_scaffold238
NA NW_024879776.1 unplaced_scaffold239
NA NW_024879777.1 unplaced_scaffold240
NA NW_024879778.1 unplaced_scaffold241
NA NW_024879779.1 unplaced_scaffold242
NA NW_024879780.1 unplaced_scaffold243
NA NW_024879781.1 unplaced_scaffold244
NA NW_024879782.1 unplaced_scaffold245
NA NW_024879783.1 unplaced_scaffold246
NA NW_024879784.1 unplaced_scaffold247
NA NW_024879785.1 unplaced_scaffold248
NA NW_024879786.1 unplaced_scaffold249
NA NW_024879787.1 unplaced_scaffold250
NA NW_024879788.1 unplaced_scaffold251
NA NW_024879789.1 unplaced_scaffold252
NA NW_024879790.1 unplaced_scaffold253
NA NW_024879791.1 unplaced_scaffold254
NA NW_024879792.1 unplaced_scaffold255
NA NW_024879793.1 unplaced_scaffold256
NA NW_024879794.1 unplaced_scaffold257
NA NW_024879795.1 unplaced_scaffold258
NA NW_024879796.1 unplaced_scaffold259
NA NW_024879797.1 unplaced_scaffold260
NA NW_024879798.1 unplaced_scaffold261
NA NW_024879799.1 unplaced_scaffold262
NA NW_024879800.1 unplaced_scaffold263
NA NW_024879801.1 unplaced_scaffold264
NA NW_024879802.1 unplaced_scaffold265
NA NW_024879803.1 unplaced_scaffold266
NA NW_024879804.1 unplaced_scaffold267
NA NW_024879805.1 unplaced_scaffold268
NA NW_024879806.1 unplaced_scaffold269
NA NW_024879807.1 unplaced_scaffold270
NA NW_024879808.1 unplaced_scaffold271
NA NW_024879809.1 unplaced_scaffold272
NA NW_024879810.1 unplaced_scaffold273
NA NW_024879811.1 unplaced_scaffold274
NA NW_024879812.1 unplaced_scaffold275
NA NW_024879813.1 unplaced_scaffold276
NA NW_024879814.1 unplaced_scaffold277
NA NW_024879815.1 unplaced_scaffold278
NA NW_024879816.1 unplaced_scaffold279
NA NW_024879817.1 unplaced_scaffold280
NA NW_024879818.1 unplaced_scaffold281
NA NW_024879819.1 unplaced_scaffold282
NA NW_024879820.1 unplaced_scaffold283
NA NW_024879821.1 unplaced_scaffold284
NA NW_024879822.1 unplaced_scaffold285
NA NW_024879823.1 unplaced_scaffold286
NA NW_024879824.1 unplaced_scaffold287
NA NW_024879825.1 unplaced_scaffold288
NA NW_024879826.1 unplaced_scaffold289
NA NW_024879827.1 unplaced_scaffold290
NA NW_024879828.1 unplaced_scaffold291
NA NW_024879829.1 unplaced_scaffold292
NA NW_024879830.1 unplaced_scaffold293
NA NW_024879831.1 unplaced_scaffold294
NA NW_024879832.1 unplaced_scaffold295
NA NW_024879833.1 unplaced_scaffold296
NA NW_024879834.1 unplaced_scaffold297
NA NW_024879835.1 unplaced_scaffold298
NA NW_024879836.1 unplaced_scaffold299
NA NW_024879837.1 unplaced_scaffold300
NA NW_024879838.1 unplaced_scaffold301
NA NW_024879839.1 unplaced_scaffold302
NA NW_024879840.1 unplaced_scaffold303
NA NW_024879841.1 unplaced_scaffold304
NA NW_024879842.1 unplaced_scaffold305
NA NW_024879843.1 unplaced_scaffold306
NA NW_024879844.1 unplaced_scaffold307
NA NW_024879845.1 unplaced_scaffold308
NA NW_024879846.1 unplaced_scaffold309
NA NW_024879847.1 unplaced_scaffold310
NA NW_024879848.1 unplaced_scaffold311
NA NW_024879849.1 unplaced_scaffold312
NA NW_024879850.1 unplaced_scaffold313
NA NW_024879851.1 unplaced_scaffold314
NA NW_024879852.1 unplaced_scaffold315
NA NW_024879853.1 unplaced_scaffold316
NA NW_024879854.1 unplaced_scaffold317
NA NW_024879855.1 unplaced_scaffold318
NA NW_024879856.1 unplaced_scaffold319
NA NW_024879857.1 unplaced_scaffold320
NA NW_024879858.1 unplaced_scaffold321
NA NW_024879859.1 unplaced_scaffold322
NA NW_024879860.1 unplaced_scaffold323
NA NW_024879861.1 unplaced_scaffold324
NA NW_024879862.1 unplaced_scaffold325
NA NW_024879863.1 unplaced_scaffold326
NA NW_024879864.1 unplaced_scaffold327
NA NW_024879865.1 unplaced_scaffold328
NA NW_024879866.1 unplaced_scaffold329
NA NW_024879867.1 unplaced_scaffold330
NA NW_024879868.1 unplaced_scaffold331
NA NW_024879869.1 unplaced_scaffold332
NA NW_024879870.1 unplaced_scaffold333
NA NW_024879871.1 unplaced_scaffold334
NA NW_024879872.1 unplaced_scaffold335
NA NW_024879873.1 unplaced_scaffold336
NA NW_024879874.1 unplaced_scaffold337
NA NW_024879875.1 unplaced_scaffold338
NA NW_024879876.1 unplaced_scaffold339
NA NW_024879877.1 unplaced_scaffold340
NA NW_024879878.1 unplaced_scaffold341
NA NW_024879879.1 unplaced_scaffold342
NA NW_024879880.1 unplaced_scaffold343
NA NW_024879881.1 unplaced_scaffold344
NA NW_024879882.1 unplaced_scaffold345
NA NW_024879883.1 unplaced_scaffold346
NA NW_024879884.1 unplaced_scaffold347
NA NW_024879885.1 unplaced_scaffold348
NA NW_024879886.1 unplaced_scaffold349
NA NW_024879887.1 unplaced_scaffold350
NA NW_024879888.1 unplaced_scaffold351
NA NW_024879889.1 unplaced_scaffold352
NA NW_024879890.1 unplaced_scaffold353
NA NW_024879891.1 unplaced_scaffold354
NA NW_024879892.1 unplaced_scaffold355
NA NW_024879893.1 unplaced_scaffold356
NA NW_024879894.1 unplaced_scaffold357
NA NW_024879895.1 unplaced_scaffold358
NA NW_024879896.1 unplaced_scaffold359
NA NW_024879897.1 unplaced_scaffold360
NA NW_024879898.1 unplaced_scaffold361
NA NW_024879899.1 unplaced_scaffold362
NA NW_024879900.1 unplaced_scaffold363
NA NW_024879901.1 unplaced_scaffold364
NA NW_024879902.1 unplaced_scaffold365
NA NW_024879903.1 unplaced_scaffold366
NA NW_024879904.1 unplaced_scaffold367
NA NW_024879905.1 unplaced_scaffold368
NA NW_024879906.1 unplaced_scaffold369
NA NW_024879907.1 unplaced_scaffold370
NA NW_024879908.1 unplaced_scaffold371
NA NW_024879909.1 unplaced_scaffold372
NA NW_024879910.1 unplaced_scaffold373
NA NW_024879911.1 unplaced_scaffold374
NA NW_024879912.1 unplaced_scaffold375
NA NW_024879913.1 unplaced_scaffold376
NA NW_024879914.1 unplaced_scaffold377
NA NW_024879915.1 unplaced_scaffold378
NA NW_024879916.1 unplaced_scaffold379
NA NW_024879917.1 unplaced_scaffold380
NA NW_024879918.1 unplaced_scaffold381
NA NW_024879919.1 unplaced_scaffold382
NA NW_024879920.1 unplaced_scaffold383
NA NW_024879921.1 unplaced_scaffold384
NA NW_024879922.1 unplaced_scaffold385
NA NW_024879923.1 unplaced_scaffold386
NA NW_024879924.1 unplaced_scaffold387
NA NW_024879925.1 unplaced_scaffold388
NA NW_024879926.1 unplaced_scaffold389
NA NW_024879927.1 unplaced_scaffold390
NA NW_024879928.1 unplaced_scaffold391
NA NW_024879929.1 unplaced_scaffold392
NA NW_024879930.1 unplaced_scaffold393
NA NW_024879931.1 unplaced_scaffold394
NA NW_024879932.1 unplaced_scaffold395
NA NW_024879933.1 unplaced_scaffold396
NA NW_024879934.1 unplaced_scaffold397
NA NW_024879935.1 unplaced_scaffold398
NA NW_024879936.1 unplaced_scaffold399
NA NW_024879937.1 unplaced_scaffold400
NA NW_024879938.1 unplaced_scaffold401
NA NW_024879939.1 unplaced_scaffold402
NA NW_024879940.1 unplaced_scaffold403
NA NW_024879941.1 unplaced_scaffold404
NA NW_024879942.1 unplaced_scaffold405
NA NW_024879943.1 unplaced_scaffold406
NA NW_024879944.1 unplaced_scaffold407
NA NW_024879945.1 unplaced_scaffold408
NA NW_024879946.1 unplaced_scaffold409
NA NW_024879947.1 unplaced_scaffold410
NA NW_024879948.1 unplaced_scaffold411
NA NW_024879949.1 unplaced_scaffold412
NA NW_024879950.1 unplaced_scaffold413
NA NW_024879951.1 unplaced_scaffold414
NA NW_024879952.1 unplaced_scaffold415
NA NW_024879953.1 unplaced_scaffold416
NA NW_024879954.1 unplaced_scaffold417
NA NW_024879955.1 unplaced_scaffold418
NA NW_024879956.1 unplaced_scaffold419
NA NW_024879957.1 unplaced_scaffold420
NA NW_024879958.1 unplaced_scaffold421
NA NW_024879959.1 unplaced_scaffold422
NA NW_024879960.1 unplaced_scaffold423
NA NW_024879961.1 unplaced_scaffold424
NA NW_024879962.1 unplaced_scaffold425
NA NW_024879963.1 unplaced_scaffold426
NA NW_024879964.1 unplaced_scaffold427
NA NW_024879965.1 unplaced_scaffold428
NA NW_024879966.1 unplaced_scaffold429
NA NW_024879967.1 unplaced_scaffold430
NA NW_024879968.1 unplaced_scaffold431
NA NW_024879969.1 unplaced_scaffold432
NA NW_024879970.1 unplaced_scaffold433
NA NW_024879971.1 unplaced_scaffold434
NA NW_024879972.1 unplaced_scaffold435
NA NW_024879973.1 unplaced_scaffold436
NA NW_024879974.1 unplaced_scaffold437
NA NW_024879975.1 unplaced_scaffold438
NA NW_024879976.1 unplaced_scaffold439
NA NW_024879977.1 unplaced_scaffold440
NA NW_024879978.1 unplaced_scaffold441
NA NW_024879979.1 unplaced_scaffold442
NA NW_024879980.1 unplaced_scaffold443
NA NW_024879981.1 unplaced_scaffold444
NA NW_024879982.1 unplaced_scaffold445
NA NW_024879983.1 unplaced_scaffold446
NA NW_024879984.1 unplaced_scaffold447
NA NW_024879985.1 unplaced_scaffold448
NA NW_024879986.1 unplaced_scaffold449
NA NW_024879987.1 unplaced_scaffold450
NA NW_024879988.1 unplaced_scaffold451
NA NW_024879989.1 unplaced_scaffold452
NA NW_024879990.1 unplaced_scaffold453
NA NW_024879991.1 unplaced_scaffold454
NA NW_024879992.1 unplaced_scaffold455
NA NW_024879993.1 unplaced_scaffold456
NA NW_024879994.1 unplaced_scaffold457
NA NW_024879995.1 unplaced_scaffold458
NA NW_024879996.1 unplaced_scaffold459
NA NW_024879997.1 unplaced_scaffold460
NA NW_024879998.1 unplaced_scaffold461
NA NW_024879999.1 unplaced_scaffold462
NA NW_024880000.1 unplaced_scaffold463
NA NW_024880001.1 unplaced_scaffold464
NA NW_024880002.1 unplaced_scaffold465
NA NW_024880003.1 unplaced_scaffold466
NA NW_024880004.1 unplaced_scaffold467
NA NW_024880005.1 unplaced_scaffold468
NA NW_024880006.1 unplaced_scaffold469
NA NW_024880007.1 unplaced_scaffold470
NA NW_024880008.1 unplaced_scaffold471
NA NW_024880009.1 unplaced_scaffold472
NA NW_024880010.1 unplaced_scaffold473
NA NW_024880011.1 unplaced_scaffold474
NA NW_024880012.1 unplaced_scaffold475
NA NW_024880013.1 unplaced_scaffold476
NA NW_024880014.1 unplaced_scaffold477
NA NW_024880015.1 unplaced_scaffold478
NA NW_024880016.1 unplaced_scaffold479
NA NW_024880017.1 unplaced_scaffold480
NA NW_024880018.1 unplaced_scaffold481
NA NW_024880019.1 unplaced_scaffold482
NA NW_024880020.1 unplaced_scaffold483
NA NW_024880021.1 unplaced_scaffold484
NA NW_024880022.1 unplaced_scaffold485
NA NW_024880023.1 unplaced_scaffold486
NA NW_024880024.1 unplaced_scaffold487
NA NW_024880025.1 unplaced_scaffold488
NA NW_024880026.1 unplaced_scaffold489
NA NW_024880027.1 unplaced_scaffold490
NA NW_024880028.1 unplaced_scaffold491
NA NW_024880029.1 unplaced_scaffold492
NA NW_024880030.1 unplaced_scaffold493
NA NW_024880031.1 unplaced_scaffold494
NA NW_024880032.1 unplaced_scaffold495
NA NW_024880033.1 unplaced_scaffold496
NA NW_024880034.1 unplaced_scaffold497
NA NW_024880035.1 unplaced_scaffold498
NA NW_024880036.1 unplaced_scaffold499
NA NW_024880037.1 unplaced_scaffold500
NA NW_024880038.1 unplaced_scaffold501
NA NW_024880039.1 unplaced_scaffold502
NA NW_024880040.1 unplaced_scaffold503
NA NW_024880041.1 unplaced_scaffold504
NA NW_024880042.1 unplaced_scaffold505
NA NW_024880043.1 unplaced_scaffold506
NA NW_024880044.1 unplaced_scaffold507
NA NW_024880045.1 unplaced_scaffold508
NA NW_024880046.1 unplaced_scaffold509
NA NW_024880047.1 unplaced_scaffold510
NA NW_024880048.1 unplaced_scaffold511
NA NW_024880049.1 unplaced_scaffold512
NA NW_024880050.1 unplaced_scaffold513
NA NW_024880051.1 unplaced_scaffold514
NA NW_024880052.1 unplaced_scaffold515
NA NW_024880053.1 unplaced_scaffold516
NA NW_024880054.1 unplaced_scaffold517
NA NW_024880055.1 unplaced_scaffold518
NA NW_024880056.1 unplaced_scaffold519
NA NW_024880057.1 unplaced_scaffold520
NA NW_024880058.1 unplaced_scaffold521
NA NW_024880059.1 unplaced_scaffold522
NA NW_024880060.1 unplaced_scaffold523
NA NW_024880061.1 unplaced_scaffold524
NA NW_024880062.1 unplaced_scaffold525
NA NW_024880063.1 unplaced_scaffold526
NA NW_024880064.1 unplaced_scaffold527
NA NW_024880065.1 unplaced_scaffold528
NA NW_024880066.1 unplaced_scaffold529
NA NW_024880067.1 unplaced_scaffold530
NA NW_024880068.1 unplaced_scaffold531
NA NW_024880069.1 unplaced_scaffold532
NA NW_024880070.1 unplaced_scaffold533
NA NW_024880071.1 unplaced_scaffold534
NA NW_024880072.1 unplaced_scaffold535
NA NW_024880073.1 unplaced_scaffold536
NA NW_024880074.1 unplaced_scaffold537
NA NW_024880075.1 unplaced_scaffold538
NA NW_024880076.1 unplaced_scaffold539
NA NW_024880077.1 unplaced_scaffold540
NA NW_024880078.1 unplaced_scaffold541
NA NW_024880079.1 unplaced_scaffold542
NA NW_024880080.1 unplaced_scaffold543
NA NW_024880081.1 unplaced_scaffold544
NA NW_024880082.1 unplaced_scaffold545
NA NW_024880083.1 unplaced_scaffold546
NA NW_024880084.1 unplaced_scaffold547
NA NW_024880085.1 unplaced_scaffold548
NA NW_024880086.1 unplaced_scaffold549
NA NW_024880087.1 unplaced_scaffold550
NA NW_024880088.1 unplaced_scaffold551
NA NW_024880089.1 unplaced_scaffold552
NA NW_024880090.1 unplaced_scaffold553
NA NW_024880091.1 unplaced_scaffold554
NA NW_024880092.1 unplaced_scaffold555
NA NW_024880093.1 unplaced_scaffold556
NA NW_024880094.1 unplaced_scaffold557
NA NW_024880095.1 unplaced_scaffold558
NA NW_024880096.1 unplaced_scaffold559
NA NW_024880097.1 unplaced_scaffold560
NA NW_024880098.1 unplaced_scaffold561
NA NW_024880099.1 unplaced_scaffold562
NA NW_024880100.1 unplaced_scaffold563
NA NW_024880101.1 unplaced_scaffold564
NA NW_024880102.1 unplaced_scaffold565
NA NW_024880103.1 unplaced_scaffold566
NA NW_024880104.1 unplaced_scaffold567
NA NW_024880105.1 unplaced_scaffold568
NA NW_024880106.1 unplaced_scaffold569
NA NW_024880107.1 unplaced_scaffold570
NA NW_024880108.1 unplaced_scaffold571
NA NW_024880109.1 unplaced_scaffold572
NA NW_024880110.1 unplaced_scaffold573
NA NW_024880111.1 unplaced_scaffold574
NA NW_024880112.1 unplaced_scaffold575
NA NW_024880113.1 unplaced_scaffold576
NA NW_024880114.1 unplaced_scaffold577
NA NW_024880115.1 unplaced_scaffold578
NA NW_024880116.1 unplaced_scaffold579
NA NW_024880117.1 unplaced_scaffold580
NA NW_024880118.1 unplaced_scaffold581
NA NW_024880119.1 unplaced_scaffold582
NA NW_024880120.1 unplaced_scaffold583
NA NW_024880121.1 unplaced_scaffold584
NA NW_024880122.1 unplaced_scaffold585
NA NW_024880123.1 unplaced_scaffold586
NA NW_024880124.1 unplaced_scaffold587
NA NW_024880125.1 unplaced_scaffold588
NA NW_024880126.1 unplaced_scaffold589
NA NW_024880127.1 unplaced_scaffold590
NA NW_024880128.1 unplaced_scaffold591
NA NW_024880129.1 unplaced_scaffold592
NA NW_024880130.1 unplaced_scaffold593
NA NW_024880131.1 unplaced_scaffold594
NA NW_024880132.1 unplaced_scaffold595
NA NW_024880133.1 unplaced_scaffold596
NA NW_024880134.1 unplaced_scaffold597
NA NW_024880135.1 unplaced_scaffold598
NA NW_024880136.1 unplaced_scaffold599
NA NW_024880137.1 unplaced_scaffold600
NA NW_024880138.1 unplaced_scaffold601
NA NW_024880139.1 unplaced_scaffold602
NA NW_024880140.1 unplaced_scaffold603
NA NW_024880141.1 unplaced_scaffold604
NA NW_024880142.1 unplaced_scaffold605
NA NW_024880143.1 unplaced_scaffold606
NA NW_024880144.1 unplaced_scaffold607
NA NW_024880145.1 unplaced_scaffold608
NA NW_024880146.1 unplaced_scaffold609
NA NW_024880147.1 unplaced_scaffold610
NA NW_024880148.1 unplaced_scaffold611
NA NW_024880149.1 unplaced_scaffold612
NA NW_024880150.1 unplaced_scaffold613
NA NW_024880151.1 unplaced_scaffold614
NA NW_024880152.1 unplaced_scaffold615
NA NW_024880153.1 unplaced_scaffold616
NA NW_024880154.1 unplaced_scaffold617
NA NW_024880155.1 unplaced_scaffold618
NA NW_024880156.1 unplaced_scaffold619
NA NW_024880157.1 unplaced_scaffold620
NA NW_024880158.1 unplaced_scaffold621
NA NW_024880159.1 unplaced_scaffold622
NA NW_024880160.1 unplaced_scaffold623
NA NW_024880161.1 unplaced_scaffold624
NA NW_024880162.1 unplaced_scaffold625
NA NW_024880163.1 unplaced_scaffold626
NA NW_024880164.1 unplaced_scaffold627
NA NW_024880165.1 unplaced_scaffold628
NA NW_024880166.1 unplaced_scaffold629
NA NW_024880167.1 unplaced_scaffold630
NA NW_024880168.1 unplaced_scaffold631
NA NW_024880169.1 unplaced_scaffold632
NA NW_024880170.1 unplaced_scaffold633
NA NW_024880171.1 unplaced_scaffold634
NA NW_024880172.1 unplaced_scaffold635
NA NW_024880173.1 unplaced_scaffold636
NA NW_024880174.1 unplaced_scaffold637
NA NW_024880175.1 unplaced_scaffold638
NA NW_024880176.1 unplaced_scaffold639
